94908KDBQ DBQ20041201000010612/01/04 00:00:49  5-MIN KDBQ 010600Z AUTO 29007KT 10SM CLR M03/M06 A2989 1110 81 -800 280/07 RMK AO2 TSNO
94908KDBQ DBQ20041201000510612/01/04 00:05:31  5-MIN KDBQ 010605Z AUTO 29006KT 10SM CLR M03/M06 A2989 1110 81 -800 290/06 RMK AO2 TSNO
94908KDBQ DBQ20041201001010612/01/04 00:10:31  5-MIN KDBQ 010610Z AUTO 28007KT 10SM CLR M03/M06 A2989 1110 81 -800 280/07 RMK AO2 TSNO
94908KDBQ DBQ20041201001510612/01/04 00:15:32  5-MIN KDBQ 010615Z AUTO 27008KT 10SM CLR M03/M06 A2989 1110 81 -800 270/08 RMK AO2 TSNO
94908KDBQ DBQ20041201002010612/01/04 00:20:31  5-MIN KDBQ 010620Z AUTO 27008KT 10SM CLR M03/M06 A2988 1110 81 -800 270/08 RMK AO2 TSNO
94908KDBQ DBQ20041201002510612/01/04 00:25:31  5-MIN KDBQ 010625Z AUTO 27010KT 10SM CLR M03/M06 A2988 1110 81 -800 270/10 RMK AO2 TSNO
94908KDBQ DBQ20041201003010612/01/04 00:30:31  5-MIN KDBQ 010630Z AUTO 28010KT 10SM CLR M03/M06 A2988 1110 81 -800 280/10 RMK AO2 TSNO
94908KDBQ DBQ20041201003510612/01/04 00:35:31  5-MIN KDBQ 010635Z AUTO 28011KT 10SM CLR M03/M06 A2988 1110 81 -800 280/11 RMK AO2 TSNO
94908KDBQ DBQ20041201004010612/01/04 00:40:31  5-MIN KDBQ 010640Z AUTO 28011KT 10SM CLR M03/M06 A2988 1110 81 -800 280/11 RMK AO2 TSNO
94908KDBQ DBQ20041201004510512/01/04 00:45:31  5-MIN KDBQ 010645Z AUTO 28014KT 9SM CLR M03/M06 A2988 1110 81 -800 280/14 RMK AO2 TSNO
94908KDBQ DBQ20041201005012212/01/04 00:50:31  5-MIN KDBQ 010650Z AUTO 28015KT 9SM CLR M03/M06 A2988 1110 81 -800 270/15 RMK AO2 SLP133 T10331061 TSNO
94908KDBQ DBQ20041201005512212/01/04 00:55:31  5-MIN KDBQ 010655Z AUTO 28016KT 9SM CLR M03/M06 A2988 1110 81 -800 280/16 RMK AO2 SLP133 T10331061 TSNO
94908KDBQ DBQ20041201010010512/01/04 01:00:31  5-MIN KDBQ 010700Z AUTO 28014KT 9SM CLR M03/M06 A2988 1110 81 -800 280/14 RMK AO2 TSNO
94908KDBQ DBQ20041201010510512/01/04 01:05:31  5-MIN KDBQ 010705Z AUTO 28014KT 9SM CLR M03/M06 A2988 1110 81 -800 280/14 RMK AO2 TSNO
94908KDBQ DBQ20041201011010512/01/04 01:10:31  5-MIN KDBQ 010710Z AUTO 27014KT 9SM CLR M03/M06 A2988 1110 81 -800 270/14 RMK AO2 TSNO
94908KDBQ DBQ20041201011510612/01/04 01:15:31  5-MIN KDBQ 010715Z AUTO 28014KT 10SM CLR M03/M06 A2988 1110 81 -800 270/14 RMK AO2 TSNO
94908KDBQ DBQ20041201012010612/01/04 01:20:31  5-MIN KDBQ 010720Z AUTO 28013KT 10SM CLR M03/M06 A2988 1110 81 -800 280/13 RMK AO2 TSNO
94908KDBQ DBQ20041201012510612/01/04 01:25:31  5-MIN KDBQ 010725Z AUTO 28012KT 10SM CLR M03/M06 A2988 1110 81 -800 270/12 RMK AO2 TSNO
94908KDBQ DBQ20041201013010612/01/04 01:30:31  5-MIN KDBQ 010730Z AUTO 27010KT 10SM CLR M03/M06 A2988 1110 81 -800 270/10 RMK AO2 TSNO
94908KDBQ DBQ20041201013510612/01/04 01:35:31  5-MIN KDBQ 010735Z AUTO 28012KT 10SM CLR M03/M06 A2989 1110 81 -800 270/12 RMK AO2 TSNO
94908KDBQ DBQ20041201014010612/01/04 01:40:31  5-MIN KDBQ 010740Z AUTO 27011KT 10SM CLR M03/M06 A2989 1110 81 -800 270/11 RMK AO2 TSNO
94908KDBQ DBQ20041201014510612/01/04 01:45:31  5-MIN KDBQ 010745Z AUTO 27011KT 10SM CLR M03/M06 A2989 1110 81 -800 270/11 RMK AO2 TSNO
94908KDBQ DBQ20041201015012312/01/04 01:50:31  5-MIN KDBQ 010750Z AUTO 27010KT 10SM CLR M04/M06 A2989 1110 85 -900 270/10 RMK AO2 SLP135 T10391061 TSNO
94908KDBQ DBQ20041201015512312/01/04 01:55:31  5-MIN KDBQ 010755Z AUTO 28010KT 10SM CLR M04/M06 A2989 1100 85 -900 270/10 RMK AO2 SLP136 T10391061 TSNO
94908KDBQ DBQ20041201020010612/01/04 02:00:31  5-MIN KDBQ 010800Z AUTO 28011KT 10SM CLR M04/M06 A2989 1110 85 -900 270/11 RMK AO2 TSNO
94908KDBQ DBQ20041201020510612/01/04 02:05:31  5-MIN KDBQ 010805Z AUTO 28011KT 10SM CLR M03/M06 A2989 1110 81 -800 280/11 RMK AO2 TSNO
94908KDBQ DBQ20041201021010612/01/04 02:10:31  5-MIN KDBQ 010810Z AUTO 27011KT 10SM CLR M03/M07 A2989 1110 78 -800 270/11 RMK AO2 TSNO
94908KDBQ DBQ20041201021510612/01/04 02:15:31  5-MIN KDBQ 010815Z AUTO 27010KT 10SM CLR M04/M07 A2989 1100 81 -900 270/10 RMK AO2 TSNO
94908KDBQ DBQ20041201022010612/01/04 02:20:31  5-MIN KDBQ 010820Z AUTO 27009KT 10SM CLR M03/M07 A2990 1100 78 -800 270/09 RMK AO2 TSNO
94908KDBQ DBQ20041201022510612/01/04 02:25:31  5-MIN KDBQ 010825Z AUTO 27011KT 10SM CLR M04/M07 A2990 1100 81 -900 270/11 RMK AO2 TSNO
94908KDBQ DBQ20041201023010612/01/04 02:30:31  5-MIN KDBQ 010830Z AUTO 27010KT 10SM CLR M04/M07 A2990 1090 81 -900 270/10 RMK AO2 TSNO
94908KDBQ DBQ20041201023510612/01/04 02:35:31  5-MIN KDBQ 010835Z AUTO 26012KT 10SM CLR M04/M07 A2990 1090 81 -900 260/12 RMK AO2 TSNO
94908KDBQ DBQ20041201024010612/01/04 02:40:31  5-MIN KDBQ 010840Z AUTO 26012KT 10SM CLR M04/M07 A2990 1090 81 -900 260/12 RMK AO2 TSNO
94908KDBQ DBQ20041201024510612/01/04 02:45:31  5-MIN KDBQ 010845Z AUTO 26010KT 10SM CLR M04/M07 A2990 1090 81 -900 260/10 RMK AO2 TSNO
94908KDBQ DBQ20041201025012912/01/04 02:50:31  5-MIN KDBQ 010850Z AUTO 26010KT 10SM CLR M04/M07 A2991 1090 81 -900 260/10 RMK AO2 SLP141 T10391067 56002 TSNO
94908KDBQ DBQ20041201025512912/01/04 02:55:31  5-MIN KDBQ 010855Z AUTO 26010KT 10SM CLR M04/M07 A2990 1090 81 -900 260/10 RMK AO2 SLP140 T10391067 53007 TSNO
